year,language,num_projects,num_commits,num_users,num_pull_req,num_pending_issues
2007,elixir,,12,1,,
2010,shell,5251,245937,7221,275,828
2013,shell,112561,1678181,81511,26921,38007
2015,perl,34613,776561,27542,28874,38181
2016,haskell,18505,388658,11366,15315,22897
2017,pascal,8008,76266,3001,1918,3253
2018,javascript,3290617,26543752,1017996,1519264,1923062
2008,puppet,30,732,28,,
2013,arduino,7846,47903,6050,536,971
2015,viml,42896,819984,58707,8991,13198
2017,c,352775,4818852,175093,191567,255387
2017,coldfusion,2956,24455,554,2031,2384
2017,rust,34162,534574,12267,45253,59000
2018,typescript,362008,3403518,174296,207945,278058
2019,hcl,15039,101444,8018,10241,12134
2009,cmake,3,766,77,,
2012,dockerfile,1,171,7,,
2012,c,84448,2610507,68819,24653,30183
2014,clojure,19603,286902,9188,10865,15245
2015,clojure,25817,351987,11357,17135,22424
2017,jupyter notebook,214723,760288,58202,23319,30487
2019,swift,113118,685542,52220,35428,54378
2007,c,,851570,12557,,384
2012,kotlin,97,1872,77,15,28
2014,arduino,12996,97666,11462,1120,1951
2014,vue,19,483,20,19,31
2017,lua,49702,431766,18084,23543,32412
2007,python,,202068,3884,,14
2007,typescript,,2314,43,,
2012,javascript,398494,3649388,151922,118834,162315
2019,javascript,1732216,14137234,744946,799654,1203710
2008,matlab,4,4743,116,,
2012,erlang,7087,76857,2505,3054,2895
2012,groovy,4847,63851,3434,1780,2278
2014,tex,25762,664272,31105,10869,15718
2016,lua,46355,512581,21189,20544,29738
2007,objective-c,,18037,284,,1
2010,batchfile,9,721,29,8,13
2011,html,2645,170531,7693,2312,3308
2009,viml,1258,10897,900,,55
2019,coffeescript,6583,83718,4081,8354,14758
2015,kotlin,3559,54916,2722,2712,3374
2016,actionscript,3599,43330,2149,1416,2320
2017,coffeescript,27592,312052,14620,30433,43258
2009,pascal,10,23351,348,,
2010,cmake,18,1464,113,3,12
2013,jupyter notebook,304,20072,828,693,964
2008,emacs lisp,342,28384,541,,
2009,java,5230,730336,11694,,989
2015,rust,21793,421636,7956,28754,35841
2016,hcl,2871,25181,1724,1967,2230
2018,go,419972,3172132,111932,294269,374603
2018,kotlin,98569,661087,40329,30247,38741
2013,r,11879,204817,9366,3472,6004
2013,puppet,14031,114494,6518,5282,6583
2015,elixir,9907,114023,4100,7240,9377
2018,r,105206,899122,50303,28494,46924
2019,dart,56703,244400,19211,11928,26779
